Rank,Player,G,MP,PTS,AST,STL,FG%,3P%,FT%,WS,WS/48,Share
1,Allen Iverson\iversal01,71,42,31.1,4.6,2.5,0.42,0.32,0.814,11.8,0.19,0.904
2,Tim Duncan\duncati01,82,38.7,22.2,3,0.9,0.499,0.259,0.618,13.2,0.2,0.569
3,Shaquille O'Neal\onealsh01,74,39.5,28.7,3.7,0.6,0.572,0,0.513,14.9,0.245,0.466
4,Chris Webber\webbech01,70,40.5,27.1,4.2,1.3,0.481,0.071,0.703,11,0.186,0.42
5,Kevin Garnett\garneke01,81,39.5,22,5,1.4,0.477,0.288,0.764,11.8,0.176,0.122
6,Tracy McGrady\mcgratr01,77,40.1,26.8,4.6,1.5,0.457,0.355,0.733,12.2,0.189,0.052
7,Karl Malone\malonka01,81,35.7,23.2,4.5,1.1,0.498,0.4,0.793,13.1,0.217,0.017
8,Jason Kidd\kiddja01,77,39.8,16.9,9.8,2.2,0.411,0.297,0.814,9.6,0.15,0.015
9,Kobe Bryant\bryanko01,68,40.9,28.5,5,1.7,0.464,0.305,0.853,11.3,0.196,0.009
10,David Robinson\robinda01,80,29.6,14.4,1.5,1,0.486,0,0.747,12.1,0.246,0.006
1,Tim Duncan\duncati01,82,40.6,25.5,3.7,0.7,0.508,0.1,0.799,17.8,0.257,0.757
2,Jason Kidd\kiddja01,82,37.3,14.7,9.9,2.1,0.391,0.321,0.814,8.9,0.14,0.712
3,Shaquille O'Neal\onealsh01,67,36.1,27.2,3,0.6,0.579,0,0.555,13.2,0.262,0.552
4,Tracy McGrady\mcgratr01,76,38.3,25.6,5.3,1.6,0.451,0.364,0.748,11.5,0.189,0.31
5,Kobe Bryant\bryanko01,80,38.3,25.2,5.5,1.5,0.469,0.25,0.829,12.7,0.199,0.078
6,Gary Payton\paytoga01,82,40.3,22.1,9,1.6,0.467,0.314,0.797,12.6,0.183,0.043
7,Chris Webber\webbech01,54,38.4,24.5,4.8,1.7,0.495,0.263,0.749,8.6,0.2,0.029
8,Dirk Nowitzki\nowitdi01,76,38,23.4,2.4,1.1,0.477,0.397,0.853,13.4,0.222,0.025
9,Allen Iverson\iversal01,60,43.7,31.4,5.5,2.8,0.398,0.291,0.812,6.9,0.126,0.023
10,Ben Wallace\wallabe01,80,36.5,7.6,1.4,1.7,0.531,0,0.423,11.6,0.19,0.019
1,Tim Duncan\duncati01,81,39.3,23.3,3.9,0.7,0.513,0.273,0.71,16.5,0.248,0.808
2,Kevin Garnett\garneke01,82,40.5,23,6,1.4,0.502,0.282,0.751,15.6,0.225,0.732
3,Kobe Bryant\bryanko01,82,41.5,30,5.9,2.2,0.451,0.383,0.843,14.9,0.21,0.417
4,Tracy McGrady\mcgratr01,75,39.4,32.1,5.5,1.7,0.457,0.386,0.793,16.1,0.262,0.359
5,Shaquille O'Neal\onealsh01,67,37.8,27.5,3.1,0.6,0.574,0,0.622,13.2,0.25,0.106
6,Allen Iverson\iversal01,82,42.5,27.6,5.5,2.7,0.414,0.277,0.774,9.2,0.127,0.07
