Rank,Player,G,MP,PTS,AST,STL,FG%,3P%,FT%,WS,WS/48,Share
1,Stephen Curry\curryst01,80,32.7,23.8,7.7,2,0.487,0.443,0.914,15.7,0.288,0.922
2,James Harden\hardeja01,81,36.8,27.4,7,1.9,0.44,0.375,0.868,16.4,0.265,0.72
3,LeBron James\jamesle01,69,36.1,25.3,7.4,1.6,0.488,0.354,0.71,10.4,0.199,0.425
4,Russell Westbrook\westbru01,67,34.4,28.1,8.6,2.1,0.426,0.299,0.835,10.6,0.222,0.271
5,Anthony Davis\davisan02,68,36.1,24.4,2.2,1.5,0.535,0.083,0.805,14,0.274,0.156
6,Chris Paul\paulch01,82,34.8,19.1,10.2,1.9,0.485,0.398,0.9,16.1,0.27,0.095
7,LaMarcus Aldridge\aldrila01,71,35.4,23.4,1.7,0.7,0.466,0.352,0.845,8.6,0.165,0.005
8T,Marc Gasol\gasolma01,81,33.2,17.4,3.8,0.9,0.494,0.176,0.795,10.2,0.182,0.002
8T,Blake Griffin\griffbl01,67,35.2,21.9,5.3,0.9,0.502,0.4,0.728,9,0.183,0.002
10T,Tim Duncan\duncati01,77,28.9,13.9,3,0.8,0.512,0.286,0.74,9.6,0.207,0.001
10T,Kawhi Leonard\leonaka01,64,31.8,16.5,2.5,2.3,0.479,0.349,0.802,8.6,0.204,0.001
10T,Klay Thompson\thompkl01,77,31.9,21.7,2.9,1.1,0.463,0.439,0.879,8.8,0.172,0.001
